code,name,avg_speed_1to3,avg_spped_total,diff_speed
213103,اصفهان - مورچه‌خورت (پليس‌راه),68,98,30
713707,ابتداي کمربندي قصر شيرين (رفت),50,72,22
713757,ابتداي کمربندي قصر شيرين (برگشت),54,73,19
574111,مرگنلر - پلدشت,26,44,18
143154,دليجان - سلفچگان (سلفچگان),66,81,15
733252,سيرانبند - بانه,61,75,14
163103,ساري - نکا,46,60,14
543280,آزادراه قزوين - رشت (امامزاده هاشم) (متناظر توزين),46,60,14
753716,جوکار - ملاير (ملاير),68,82,14
733607,دهگلان - موچش,65,77,12
853311,ياسوج - باباميدان (باباميدان),56,68,12
733202,بانه - سيرانبند,65,77,12
573803,شاهين دژ - بوکان,66,76,10
643605,رهدار - زيارت پيرچوگان,50,60,10
163401,فريدونکنار - محمودآباد,42,52,10
613505,سه راهي دشتک - زابل (شهر سوخته),67,77,10
543609.0,چابکسر - رامسر (مرز استان),49,59,10
163452,فريدونکنار - بابلسر,58,68,10
543251,اردبيل - آستارا (آق چاي - آستارا),56,65,9
853361,باباميدان - ياسوج (باباميدان),62,71,9
573301,پيرانشهر - مرز تمرچين,64,73,9
113208,آزادراه ساوه - تهران (رباط کريم-تهران),59,68,9
163266,رودهن - آمل (گزنک - پنجاب),47,56,9
544551,سياهکل - لاهيجان,34,43,9
833756,ترمينال برکت - سه راهي آذر,56,64,8
453113,شهداد - نهبندان (شهداد),59,67,8
364653,لالي - سه راهي لالي (پل کابلي),55,63,8
953852,بهبهان - ديلم,72,80,8
953454,کازرون - برازجان (کنارتخته - دالکي),66,74,8
363301,جاده قديم انديمشک - پل زال,55,62,7
953661,سيراف - عسلويه,74,81,7
833608,سرابله - سه راهي چهارمله,58,65,7
933261,نصرآباد - ندوشن (سه راهي شواز),47,54,7
153160,آزادراه کرج - قزوين (عوارضي 2 قزوين),78,85,7
214753,گلپايگان - علويجه (علويجه),71,78,7
163701,محمودآباد - نور,42,49,7
544701,شلمان - املش,13,20,7
643357,بندربستانو - پارسيان,61,68,7
953802,ديلم - بهبهان,78,85,7
364603,سه راهي لالي - لالي (پل کابلي),56,63,7
733452,بانه - سقز (سقز),84,91,7
753657,گل تپه - کبوتر آهنگ,28,35,7
973954,جنگل گلستان - تنگراه,48,55,7
414703,گله دار - دارالميزان,85,92,7
414753,دارالميزان - گله دار,87,93,6
913301,اردبيل - آستارا (تونل حيران - آق چاي),47,53,6
363803,خرمشهر - آبادان,49,55,6
733402,سقز - بانه (سقز),74,80,6
543302,انزلي - رضوانشهر,63,69,6
414152,سروستان - شيراز,33,39,6
643701,لافت - درگهان,80,86,6
543155,آزادراه قزوين - رشت (رودبار - رستم‌آباد),75,81,6
263854,پلدشت - جلفا (جلفا),54,60,6
153357,خرمدشت - تاکستان,87,93,6
164651,کرج - چالوس (دوآب - چالوس),54,60,6
833201,ايوان - اسلام‌آباد (ايوان - زرنه),76,82,6
544357,ماسوله - فومن,58,64,6
953152,دير - بوشهر (عامري),64,70,6
753295,صالح آباد - همدان (صالح آباد) (متناظر توزين),68,74,6
414851,جاده قديم مرودشت - سعادت شهر,61,67,6
143117,آزادراه تهران - قم (رستوران مهتاب),107,113,6
833711,سه راهي آذر - پايانه برکت,60,66,6
753766,ملاير - جوکار (ملاير) (متناظر توزين),69,75,6
