|code|nowruz_02|nowruz_03
0|113201|['1401-12-28']|['1402-12-28']
1|113212.0|['1401-12-10', '1401-12-11', '1401-12-12', '1401-12-13']|
2|113228|['1401-12-29']|['1402-12-29']
3|113259||['1402-12-15', '1402-12-17', '1402-12-18', '1402-12-19']
4|113278||['1403-01-14']
5|113278.0|['1402-01-14']|
6|113293.0||['1403-01-06']
7|113299||['1403-01-11']
8|113341||['1403-01-09']
9|113401|['1402-01-13']|
10|113404|['1401-12-29']|
11|113418||['1402-12-28', '1402-12-29']
12|113418.0|['1401-12-29']|
13|113501||['1402-12-29']
14|113502||['1402-12-29']
15|113551|['1402-01-05']|
16|113604|['1401-12-28', '1401-12-29']|['1402-12-28', '1402-12-29']
17|113654|['1402-01-14']|
18|113815|['1402-01-13']|
19|113815.0||['1403-01-13']
20|113855|['1402-01-13']|['1403-01-13']
21|113865|['1402-01-13']|
22|113865.0||['1403-01-13']
23|113963||['1402-12-24']
24|114354||['1403-01-14']
25|114354.0|['1402-01-14']|
26|114357||['1402-12-28']
27|114358||['1402-12-28', '1402-12-29']
28|114358.0|['1401-12-28']|
29|114413|['1401-12-28']|
30|114551||['1403-01-18']
31|143101|['1402-01-01']|
32|143103.0|['1402-01-13']|
33|143104|['1401-12-29']|
34|143105|['1401-12-29']|['1402-12-28', '1402-12-29']
35|143108|['1401-12-28', '1401-12-29', '1402-01-01', '1402-01-02']|['1402-12-28', '1402-12-29', '1403-01-01', '1403-01-02']
36|143109|['1402-01-14']|
37|143110|['1401-12-25', '1401-12-28', '1401-12-29', '1402-01-01']|
38|143112|['1402-01-13']|
39|143114|['1401-12-22', '1401-12-23', '1402-01-02', '1402-01-03', '1402-01-08']|
40|143117|['1401-12-28', '1401-12-29', '1402-01-01']|
41|143118|['1401-12-28', '1401-12-29', '1402-01-01']|['1402-12-28', '1402-12-29']
42|143119|['1401-12-16', '1401-12-17', '1402-01-01']|['1403-01-13', '1403-01-14', '1403-01-15']
43|143120|['1401-12-16', '1401-12-17', '1401-12-18', '1402-01-01']|
44|143122||['1403-01-02', '1403-01-08', '1403-01-09']
45|143124|['1401-12-28', '1401-12-29']|['1402-12-28', '1402-12-29']
46|143129|['1402-01-14']|
47|143130|['1401-12-29']|
48|143132|['1402-01-13']|
49|143137||['1402-12-28']
50|143151|['1402-01-13']|
51|143152|['1402-01-15']|
52|143153.0|['1402-01-13']|
53|143155|['1402-01-13', '1402-01-14']|['1403-01-14']
54|143157||['1402-12-28']
55|143158|['1402-01-12']|['1403-01-10']
56|143160|['1402-01-14']|
57|143162|['1402-01-13']|
58|143164|['1402-01-08', '1402-01-09']|
59|143168.0|['1402-01-14']|
60|143169|['1401-12-16', '1401-12-17', '1402-01-02']|
61|143170|['1401-12-15', '1401-12-16', '1401-12-18', '1401-12-23']|
62|143172||['1403-01-02', '1403-01-03', '1403-01-04', '1403-01-05', '1403-01-09', '1403-01-10', '1403-01-12', '1403-01-13', '1403-01-14']
63|143174||['1403-01-14']
64|143175|['1402-01-14']|['1403-01-14']
65|143179|['1401-12-28', '1401-12-29']|['1402-12-28', '1402-12-29']
66|143181|['1401-12-29']|
67|143182|['1402-01-13']|
68|143183|['1401-12-28', '1401-12-29']|['1402-12-28', '1402-12-29']
69|143201|['1401-12-16', '1401-12-17']|
70|143202||['1402-12-28', '1402-12-29']
71|143220||['1402-12-28', '1402-12-29']
72|143220.0|['1401-12-28', '1401-12-29']|
73|143223|['1402-01-13']|
74|143225|['1401-12-29']|
75|143251|['1401-12-16', '1402-01-01']|
76|143275|['1402-01-13']|
77|143301||['1402-12-13', '1402-12-15']
78|143351|['1401-12-17']|
79|153104|['1401-12-28', '1401-12-29', '1402-01-01']|['1402-12-28', '1402-12-29']
80|153105|['1401-12-17']|['1402-12-29', '1403-01-01', '1403-01-02']
81|153106|['1401-12-29']|['1402-12-29']
82|153107|['1401-12-29', '1402-01-01']|['1402-12-29']
83|153112||['1402-12-28', '1402-12-29']
84|153113|['1401-12-29']|
85|153122|['1401-12-28', '1401-12-29']|['1402-12-28', '1402-12-29']
86|153123|['1402-01-13']|
87|153135|['1402-01-14', '1402-01-15']|['1403-01-14']
88|153139|['1401-12-29']|
89|153140||['1403-01-13']
90|153141|['1401-12-29']|
91|153154|['1402-01-14']|['1403-01-14', '1403-01-17']
92|153155|['1402-01-02', '1402-01-03', '1402-01-12']|['1403-01-12']
93|153156|['1402-01-12']|['1403-01-12']
94|153157|['1402-01-12']|
95|153161||['1402-12-29']
96|153162|['1402-01-14']|['1403-01-13']
97|153163|['1402-01-04', '1402-01-12', '1402-01-14', '1402-01-15']|['1403-01-12', '1403-01-13', '1403-01-14', '1403-01-15', '1403-01-16', '1403-01-17']
98|153172|['1402-01-12', '1402-01-14']|
99|153173|['1402-01-13']|
100|153185|['1401-12-28', '1401-12-29']|['1402-12-28', '1402-12-29']
101|153187||['1402-12-29']
102|153189|['1402-01-11']|
103|153202|['1401-12-29']|
104|153208|['1401-12-28', '1401-12-29']|
105|153221.0||['1402-12-11', '1402-12-13', '1402-12-26', '1402-12-28', '1403-01-01', '1403-01-02', '1403-01-05', '1403-01-06', '1403-01-08', '1403-01-10', '1403-01-11', '1403-01-14', '1403-01-15', '1403-01-16', '1403-01-18']
106|153301|['1401-12-16', '1401-12-18', '1401-12-20', '1401-12-21']|
107|153309||['1402-12-24']
108|153351|['1401-12-10']|
109|153402|['1402-01-13']|['1403-01-13']
110|153404|['1402-01-14']|
111|153404.0||['1403-01-14']
112|153452|['1402-01-13']|['1403-01-13']
113|153454|['1401-12-28', '1401-12-29']|
114|153454.0||['1402-12-28']
115|163106|['1402-01-18']|
116|163155.0|['1401-12-29', '1402-01-06']|
117|163156.0||['1403-01-07', '1403-01-08', '1403-01-09', '1403-01-10', '1403-01-15']
118|163212.0|['1402-01-11']|
119|163215|['1402-01-11']|
120|163221|['1402-01-02']|
121|163256||['1403-01-07']
122|163301|['1402-01-10']|
123|163352|['1402-01-04', '1402-01-05']|
124|163373||['1403-01-09', '1403-01-10']
125|163402|['1402-01-03', '1402-01-04', '1402-01-05', '1402-01-06', '1402-01-07', '1402-01-08', '1402-01-09', '1402-01-10']|
126|163501||['1402-12-28', '1403-01-04']
127|163501.0|['1402-01-06']|
128|163560|['1402-01-03', '1402-01-04', '1402-01-05', '1402-01-06']|['1403-01-04']
129|163751|['1402-01-04', '1402-01-05', '1402-01-06', '1402-01-09', '1402-01-10']|['1403-01-04', '1403-01-05', '1403-01-06', '1403-01-07', '1403-01-08', '1403-01-10']
130|163801||['1403-01-04', '1403-01-05']
131|163801.0|['1402-01-03', '1402-01-04', '1402-01-05', '1402-01-06', '1402-01-09']|
132|163802.0||['1403-01-05']
133|163810||['1403-01-08']
134|163852|['1402-01-04', '1402-01-05', '1402-01-06', '1402-01-07', '1402-01-08', '1402-01-09', '1402-01-10']|
135|163852.0||['1403-01-04', '1403-01-05', '1403-01-06', '1403-01-07', '1403-01-08', '1403-01-09', '1403-01-11']
136|163860||['1403-01-05', '1403-01-10', '1403-01-11']
137|163861||['1403-01-10']
138|163901|['1402-01-03', '1402-01-04', '1402-01-05', '1402-01-06', '1402-01-07', '1402-01-08', '1402-01-09', '1402-01-10']|
139|163901.0||['1403-01-03', '1403-01-04', '1403-01-05', '1403-01-06', '1403-01-07', '1403-01-08', '1403-01-09', '1403-01-10']
140|163951|['1402-01-03', '1402-01-04', '1402-01-05', '1402-01-06', '1402-01-07']|['1403-01-03', '1403-01-04', '1403-01-07', '1403-01-09']
141|164119||['1403-01-07']
142|164151|['1402-01-04']|
143|164155|['1402-01-04']|
144|164156|['1401-12-29', '1402-01-04']|
145|164157|['1401-12-28', '1401-12-29', '1402-01-04']|['1402-12-28', '1402-12-29', '1403-01-07']
146|164401||['1403-01-04', '1403-01-05', '1403-01-06', '1403-01-07', '1403-01-08', '1403-01-09', '1403-01-10']
147|164402|['1402-01-03', '1402-01-04', '1402-01-05', '1402-01-06', '1402-01-07', '1402-01-08', '1402-01-09', '1402-01-10']|['1403-01-04', '1403-01-07', '1403-01-08']
148|164451|['1402-01-04', '1402-01-05', '1402-01-06', '1402-01-07', '1402-01-08', '1402-01-09']|['1403-01-03', '1403-01-05', '1403-01-08']
149|164452|['1402-01-03', '1402-01-04', '1402-01-05', '1402-01-06', '1402-01-07', '1402-01-08', '1402-01-09', '1402-01-10']|['1403-01-03', '1403-01-04', '1403-01-05', '1403-01-06', '1403-01-07', '1403-01-08', '1403-01-09']
150|164655||['1403-01-06']
151|164671||['1403-01-03']
152|164701|['1401-12-28']|['1402-12-28']
153|183104.0|['1402-01-10']|
154|183105|['1401-12-28', '1401-12-29', '1402-01-02']|
155|183112|['1401-12-10', '1401-12-11', '1401-12-12', '1401-12-15', '1401-12-16', '1401-12-20', '1401-12-21']|
156|183113|['1402-01-10']|
157|183155|['1402-01-05', '1402-01-11']|
158|183163|['1402-01-13']|['1403-01-13']
159|183170|['1402-01-05']|
160|183171|['1402-01-12', '1402-01-14']|
161|183215||['1402-12-28', '1403-01-01', '1403-01-02', '1403-01-03']
162|183216||['1403-01-09', '1403-01-19']
163|183266||['1403-01-04', '1403-01-06', '1403-01-10', '1403-01-11', '1403-01-12', '1403-01-13']
164|183269|['1401-12-14']|
165|184202|['1401-12-29', '1402-01-15']|
166|184205||['1402-12-16']
167|184214|['1401-12-25', '1401-12-28', '1401-12-29', '1402-01-01']|
168|184251|['1402-01-14']|
169|184257||['1402-12-11']
170|184264.0||['1402-12-29']
171|213106|['1401-12-23']|['1402-12-22']
172|213114|['1401-12-13', '1401-12-14', '1401-12-18', '1401-12-25']|
173|213155|['1402-01-13']|
174|213163|['1401-12-25']|
175|213164|['1401-12-11', '1401-12-18', '1401-12-25']|
176|213201||['1402-12-10', '1402-12-11', '1402-12-13']
177|213229.0|['1401-12-10', '1401-12-11', '1401-12-16', '1401-12-23', '1401-12-24', '1401-12-25']|
178|213233|['1401-12-28', '1401-12-29', '1402-01-01', '1402-01-02', '1402-01-03']|['1402-12-28', '1402-12-29', '1403-01-01', '1403-01-02', '1403-01-03', '1403-01-04', '1403-01-05', '1403-01-06', '1403-01-07', '1403-01-08']
