,code,city,growth_rate
0,11,تهران,11.693978354783408
14,54,رشت,9.966425099128564
22,77,شهرکرد,8.982786714107059
29,95,بوشهر,8.710470330420318
17,64,بندرعباس,7.677847973141729
2,15,قزوین,6.513450771541718
19,71,کرمانشاه,6.07391224912634
7,31,مشهد,5.43818662795988
23,81,خرم آباد,4.81560522393304
21,75,همدان,4.32349344105758
1,14,قم,3.425308257720934
20,73,سنندج,3.276858911055463
30,97,گرگان,1.760136243010794
13,51,اراک,1.6833456726079856
26,87,سمنان,1.1250166472108203
4,18,کرج,0.36730886012027403
6,26,تبریز,-4.811382418887821
27,91,اردبیل,-5.232549051548037
8,32,بجنورد,-6.374067713464646
12,45,کرمان,-6.535739150614991
3,16,ساری,-7.357087785547646
24,83,ایلام,-8.812837868192096
15,57,ارومیه,-11.467226789561211
25,85,یاسوج,-13.436895945094804
11,41,شیراز,-14.615892314273534
16,61,زاهدان,-18.56799080100051
10,36,اهواز,-19.39952812757611
5,21,اصفهان,-20.002976952895175
9,33,بیرجند,-26.356730693348148
18,67,زنجان,
28,93,یزد,
