code,type,origin,destination,place
113201,آزادراه,قم,گرمسار,چرمشهر
113202,,شهریار,کرج,هفت جوی
113203,آزادراه,تهران,قم,مجتمع یاس
113206,آزادراه,تهران,پردیس,عوارضی پردیس
113207,آزادراه,تهران,پردیس,بومهن
113208,آزادراه,ساوه,تهران,رباط کریم-تهران
113209,,تهران,پاکدشت,
113210,آزادراه,تهران,قم,عوارضی تهران
113212,,امام زاده داوود,تهران,
113213,,تهران,لواسانات,طلائیه
113214,,تهران,لواسانات,سوهانک
113228,آزادراه,تهران,ساوه,پرند
113229,جاده قدیم,تهران,قم,حسن آباد) (متناظر توزین
113243,جاده قدیم,تهران,قم,حسن‌آباد - نعلبندان
113249,آزادراه,تهران,شمال,قطعه اول - محدوده عوارضی تهران
113251,آزادراه,گرمسار,قم,چرمشهر
113252,,کرج,شهریار,هفت جوی
113253,آزادراه,قم,تهران,مجتمع یاس
113256,آزادراه,پردیس,تهران,عوارضی پردیس
113257,آزادراه,پردیس,تهران,بومهن
113258,آزادراه,تهران,ساوه,تهران-رباط کریم
113259,,پاکدشت,تهران,
113260,آزادراه,قم,تهران,عوارضی تهران
113262,,تهران,امام زاده داوود,
113263,,لواسانات,تهران,طلائیه
113264,,لواسانات,تهران,سوهانک
113278,آزادراه,ساوه,تهران,پرند
113293,جاده قدیم,قم,تهران,نعلبندان - حسن‌آباد
113299,آزادراه,شمال,تهران,قطعه اول - محدوده عواضی تهران
113302,,اسلامشهر,آزادراه تهران، قم,
113341,آزادراه,تهران,شمال,قطعه اول - بعد از تونل 12
113352,آزادراه,تهران، قم,اسلامشهر,
113353,,شهریار,آدران,
113391,آزادراه,شمال,تهران,قطعه اول - بعد از تونل 12
113401,,آبسرد,ایوانکی,آبسرد - دوآب
113403,,رودهن,دماوند,
113404,,دماوند,فیروزکوه,امین‌آباد - سه‌راه ارجمند
113408,,آبعلی,پلور,آبعلی - سه‌راهی مشاء
113413,,آبعلی,پلور,سه‌راهی مشاء - امامزاده هاشم
113414,کمربندی,جنوبی رودهن,,پردیس - دماوند
113415,,فیروزکوه,سمنان,فیروزکوه
113416,,فیروزکوه,دماوند,آبسرد - گیلاوند
113417,,دماوند,فیروزکوه,آبسرد - سربندان
113418,,دماوند,فیروزکوه,سربندان - امین‌آباد
113419,,دماوند,فیروزکوه,دماوند - آبسرد
113424,,رودهن,آبعلی,
113428,جاده,مخصوص تهران,کرج,وردآورد
113451,,ایوانکی,آبسرد,دوآب - آبسرد
113453,,دماوند,رودهن,
113454,,فیروزکوه,دماوند,سه‌راه ارجمند - امین‌آباد
113458,,پلور,آبعلی,سه‌راهی مشاء - آبعلی
113463,,پلور,آبعلی,امامزاده هاشم - سه‌راهی مشاء
113464,کمربندی,جنوبی رودهن,,دماوند - پردیس
113465,,سمنان,فیروزکوه,فیروزکوه
113466,,دماوند,فیروزکوه,گیلاوند - آبسرد
113467,,فیروزکوه,دماوند,سربندان - آبسرد
113468,,فیروزکوه,دماوند,امین‌آباد - سربندان
113469,,فیروزکوه,دماوند,آبسرد - دماوند
113474,,آبعلی,رودهن,
113478,جاده,مخصوص کرج,تهران,وردآورد
113501,,فیروزکوه,گدوک,
113502,,دماوند,فیروزکوه,سه‌راهی ارجمند - فیروزکوه
113551,,گدوک,فیروزکوه,
113552,,فیروزکوه,دماوند,فیروزکوه - سه‌راهی ارجمند
113601,,رباط‌کریم,حسن‌آباد,وهن آباد - جاده قدیم قم
113603,آزادراه,تهران، قم,فرودگاه امام خمینی,
113604,آزادراه,تهران,قم,بین فرودگاه و حسن آباد
113612,عوارضی,آزادراه قم,تهران,بهشت زهرا)(مجموع گیت ها
113651,,حسن‌آباد,رباط‌کریم,جاده قدیم قم - وهن آباد
113653,,فرودگاه امام خمینی,آزادراه قم، تهران,
113654,آزادراه,قم,تهران,بین فرودگاه و حسن آباد
113701,جاده,دسترسی احمدآباد مستوفی(آزادگان,اسلامشهر),
113751,جاده,دسترسی احمدآباد مستوفی(اسلامشهر,آزادگان),
113801,,لواسانات,فشم,
113802,,فشم,میگون,
113805,,تهران,لواسانات,تلو
113810,عوارضی,آزادراه تهران,پردیس,فاز8 ) (مجموع گیت ها
113813,,تهران,جاجرود,متناظر توزین
113815,,جاجرود,لتیان,
113851,,فشم,لواسانات,
113852,,میگون,فشم,
113855,,لواسانات,تهران,تلو
113860,عوارضی,آزادراه پردیس,تهران,فاز11) (مجموع گیت ها
113863,,جاجرود,تهران,
113865,,لتیان,جاجرود,
113903,,تهران,شهریار,باغستان
113904,,تهران,شهریار,شهر قدس
113913,,شهریار(بلوار ولیعصر),ملارد,
113953,,شهریار,تهران,باغستان
113954,,شهریار,تهران,شهر قدس
113963,,ملارد,شهریار,بلوار ولیعصر
114101,,تهران,حسن آباد,جاده قدیم قم
114102,جاده قدیم,تهران,ساوه,رباط‌کریم - پرند
114103,,رباط کریم,شهریار,
114110,عوارضی,آزادراه ساوه,تهران,تهران)(مجموع گیت ها
114152,جاده قدیم,ساوه,تهران,پرند - رباط‌کریم
114153,,شهریار,رباط کریم,
114160,عوارضی,آزادراه تهران,ساوه,تهران)(مجموع گیت ها
114206,,تهران,وردآورد,همت
114256,,وردآورد,تهران,همت
114301,کمربندی,دوم تهران,,جاده ورامین - شورآباد
114302,,ری,قرچک,
114304,,ورامین,چرمشهر,
114307,آزادراه,چرمشهر,آبیک,چرمشهر
114308,آزادراه,چرمشهر,آبیک,تقاطع آزادراه تهران - ساوه
114309,آزادراه,چرمشهر,آبیک,تقاطع اخترآباد
114351,کمربندی,دوم تهران,,شورآباد - جاده ورامین
114352,,قرچک,ری,
114354,,چرمشهر,ورامین,
114357,آزادراه,آبیک,چرمشهر,چرمشهر
114358,آزادراه,آبیک,چرمشهر,تقاطع آزادراه تهران - ساوه
114359,آزادراه,آبیک,چرمشهر,تقاطع اخترآباد
114401,,پاکدشت,شریف آباد,
114413,,شریف آباد,گرمسار,
114451,,شریف آباد,پاکدشت,
114463,,گرمسار,شریف آباد,
114501,آزادراه,تهران,کرج,عوارضی قدیم
114551,آزادراه,کرج,تهران,عوارضی قدیم
143101,جاده قدیم,قم,کاشان,سه‌راه لنگرود - تقاطع آزادراه
143102,جاده قدیم,قم,تهران,قم - شکوهیه
143103,جاده قدیم,ساوه,سلفچگان,سه‌راه تفرش - سلفچگان
143104,,سلفچگان,دلیجان,سلفچگان
143105,,قم,سلفچگان,قم
143107,آزادراه,قم,تهران,نعلبندان
143108,آزادراه,قم,کاشان,تقاطع جاده قدیم - مشکات
143109,آزادراه,سلفچگان,ساوه,سلفچگان - جاده تفرش
143111,,قم,قنوات,
143112,,سه راه لنگرود,کهک,
143113,,پردیسان,ورجان,
143115,آزادراه,قم,گرمسار,قم
143116,آزادراه,قم,کاشان,قم - تقاطع جاده قدیم
143117,آزادراه,تهران,قم,رستوران مهتاب
143118,,قم,سلفچگان,
143119,,جمکران,پل جاده کاشان,
143120,,جمکران,قم,بلوار پیامبر اعظم
143122,,فوجرد,تفرش,مرز استان
143123,کمربندی,قم,,قم - کاشان
143124,کمربندی,قم,,قم - اراک
143129,آزادراه,سلفچگان,ساوه,سه‌راه تفرش - آوه
143130,,سلفچگان,دلیجان,مجتمع دلفین
143131,جاده قدیم,قم,تهران,شکوهیه - علی‌آباد
143132,جاده قدیم,سلفچگان,ساوه,سه‌راه تفرش - آوه
143133,آزادراه,قم,تهران,علی‌آباد
143134,,قم,جعفریه,
143135,جاده قدیم,قم,کاشان,تقاطع آزادراه - سن سن
143136,جاده قدیم,سلفچگان,ساوه,سلفچگان
143137,آزادراه,قم,گرمسار,عوارضی قم - چرمشهر
143151,جاده قدیم,کاشان,قم,تقاطع آزادراه - سه‌راه لنگرود
143152,جاده قدیم,تهران,قم,شکوهیه - قم
143153,جاده قدیم,سلفچگان,ساوه,سلفچگان - سه‌راه تفرش
143154,,دلیجان,سلفچگان,سلفچگان
143155,,سلفچگان,قم,قم
143157,آزادراه,تهران,قم,نعلبندان
143158,آزادراه,کاشان,قم,مشکات - تقاطع جاده قدیم
143159,آزادراه,ساوه,سلفچگان,سه‌راه تفرش - سلفچگان
143161,,قنوات,قم,
143162,,کهک,سه راه لنگرود,
143163,,ورجان,پردیسان,
143165,آزادراه,گرمسار,قم,قم
143166,آزادراه,کاشان,قم,تقاطع جاده قدیم - قم
143167,آزادراه,قم,تهران,رستوران مهتاب
143168,,سلفچگان,قم,
143169,,پل جاده کاشان,جمکران,
143170,,قم,جمکران,بلوار پیامبر اعظم
143172,,تفرش,فوجرد,مرز استان
143173,کمربندی,قم,,کاشان - قم
143174,کمربندی,قم,,اراک - قم
143175,,راهجرد,سلفچگان,
143179,آزادراه,ساوه,سلفچگان,آوه - سه‌راه تفرش
143180,,دلیجان,سلفچگان,مجتمع دلفین
143181,جاده قدیم,تهران,قم,علی‌آباد - شکوهیه
143182,جاده قدیم,ساوه,سلفچگان,آوه - سه‌راه تفرش
143183,آزادراه,تهران,قم,علی‌آباد
143184,,جعفریه,قم,
143185,جاده قدیم,کاشان,قم,سن سن - تقاطع آزادراه
143186,جاده قدیم,ساوه,سلفچگان,سلفچگان
143187,آزادراه,گرمسار,قم,چرمشهر - عوارضی قم
143201,,قم,جمکران,بلوار انتظار
143202,عوارضی,قم,کاشان,
143203,,سلفچگان,دستجرد,
143212,,قم رود,کوه سفید,
143220,آزادراه,تهران,قم,مجموع گیت های عوارضی قم
143223,جاده قدیم,کاشان,قم,متناظر توزین
143225,,قم,نیزار,کارخانه سیمان
143251,,جمکران,قم,بلوار انتظار
143252,,کاشان,عوارضی قم,
143253,,دستجرد,سلفچگان,
143262,,کوه سفید,قم رود,
143275,,نیزار,قم,کارخانه سیمان
143301,,جمکران,کوه خضر,
143351,,کوه خضر,جمکران,
149905,,قم,جعفریه,دوربین
149955,,جعفریه,قم,دوربین
153101,جاده قدیم,قزوین,رشت,کوهین - لوشان
153103,جاده قدیم,قزوین,کرج,قزوین - آبیک
153104,آزادراه,قزوین,زنجان,تاکستان - مرز استان
153105,آزادراه,قزوین,رشت,قزوین - محمودآباد
153106,آزادراه,قزوین,رشت,محمودآباد - کوهین
153107,آزادراه,قزوین,رشت,کوهین - مرز استان
153110,آزادراه,قزوین,کرج,عوارضی 2 قزوین
153111,آزادراه,قزوین,کرج,آبیک
153112,آزادراه,قزوین,زنجان,اقبالیه
153113,آزادراه,قزوین,زنجان,تاکستان
153114,آزادراه,قزوین,کرج,3کیلومتر مانده به عوارضی 1 قزوین
153122,آزادراه,قزوین,زنجان,کنارگذر قزوین
153123,,قزوین,معلم کلایه,
153135,آزادراه,کنارگذر زنجان,قزوین,بعد از عوارضی 3
153136,آزادراه,قزوین,آبیک,عوارضی 1 قزوین
153137,آزادراه,قزوین,آبیک,بعد از عوارضی2
153138,,شهر صنعتی البرز,آبیک,قبل از عوارضی2
153139,,,,
153140,,قزوین,بهرام آباد,
153141,,آوج,رزن,سلطانبلاغ
153151,جاده قدیم,رشت,قزوین,لوشان - کوهین
153153,جاده قدیم,کرج,قزوین,آبیک - قزوین
153154,آزادراه,زنجان,قزوین,مرز استان - تاکستان
153155,آزادراه,رشت,قزوین,محمودآباد - قزوین
153156,آزادراه,رشت,قزوین,کوهین - محمودآباد
153157,آزادراه,رشت,قزوین,مرز استان - کوهین
153160,آزادراه,کرج,قزوین,عوارضی 2 قزوین
153161,آزادراه,کرج,قزوین,آبیک
153162,آزادراه,زنجان,قزوین,اقبالیه) (متناظر توزین
153163,آزادراه,زنجان,قزوین,تاکستان
153164,آزادراه,کرج,قزوین,3کیلومتر بعد از عوارضی1 قزوین
153172,آزادراه,زنجان,قزوین,کنارگذر قزوین
153173,,معلم کلایه,قزوین,
153185,آزادراه,قزوین,زنجان,قبل از عوارضی3
153186,آزادراه,آبیک,قزوین,عوارضی 1 قزوین
153187,آزادراه,کنارگذر قزوین,زنجان,بعد از عوارضی 2
153189,,,,
153190,,بهرام آباد,قزوین,
153191,,رزن,آوج,سلطانبلاغ
153201,,قزوین,بوئین‌زهرا,
153202,,بوئین‌زهرا,ساوه,
153207,,بوئین‌زهرا,دانسفهان,
153208,,تاکستان,دانسفهان,
153221,,بوئین زهرا,اشتهارد,
153251,,بوئین‌زهرا,قزوین,
153252,,ساوه,بوئین‌زهرا,
153257,,دانسفهان,بوئین‌زهرا,متناظر توزین
153258,,دانسفهان,تاکستان,
153271,,اشتهارد,بوئین زهرا,
153301,جاده قدیم,قزوین,تاکستان,کهک - تاکستان
153303,,خرمدشت,آوج,سه‌راه رحیم‌آباد - آوج
153306,جاده قدیم,تاکستان,ابهر,تاکستان - ضیاآباد
153307,,تاکستان,خرمدشت,
153309,عوارضی,آزادراه قزوین،زنجان,تاکستان,مجموع گیت ها
153351,جاده قدیم,تاکستان,قزوین,تاکستان - کهک
153353,,آوج,خرمدشت,آوج - سه‌راهی رحیم‌آباد
153356,جاده قدیم,ابهر,تاکستان,ضیاآباد - تاکستان
153357,,خرمدشت,تاکستان,
153359,عوارضی,تاکستان,آزادراه قزوین،زنجان,مجموع گیت ها
153402,,آبیک,زیاران,
153403,,آبیک,طالقان,
153404,آزادراه,آبیک,چرم شهر,آبیک
153452,,زیاران,آبیک,
153453,,طالقان,آبیک,
153454,آزادراه,چرم شهر,آبیک,آبیک
163101,,ساری,کیاسر,شکتا
163102,,ساری,قائمشهر,
163103,,ساری,نکا,
163104,,خزرآباد,ساری,
163105,,ساری,جویبار,
163106,,سمنان,کیاسر,
163107,,فیروزکوه,قائمشهر,گدوک - ورسک
163110,,ساری,کیاسر,گرماب
163111,,ساری,کیاسر,کیاده
163151,,کیاسر,ساری,شکتا
163152,,قائمشهر,ساری,
163153,,نکا,ساری,متناظر توزین
163154,,ساری,خزرآباد,
163155,,جویبار,ساری,
163156,,کیاسر,سمنان,
163157,,قائمشهر,فیروزکوه,ورسک - گدوک
163160,,کیاسر,ساری,گرماب
163161,,کیاسر,ساری,کیاده
163201,,بابل,آمل,
163203,جاده قدیم,بابل,آمل,
163204,,گتاب,بابل,
163205,,آمل,محمودآباد,
163206,,بابلسر,زرگرشهر,
163207,,رودهن,آمل,پارک جنگلی آمل - آمل) (متناظر توزین
163208,,رودهن,آمل,پلور - گزنک
163212,,آمل,رودهن,پارک جنگلی - سه راه سنگچال
163213,,آمل,رودهن,سه راه سنگچال - شاه زید
163214,,آمل,رودهن,شاه زید - سه راه بلده
163215,,آمل,رودهن,سه راه بلده - پنجاب
163216,,آمل,رودهن,پنجاب - گزنک
163221,,رودهن,آمل,امامزاده هاشم- پلور
163251,,آمل,بابل,
163253,جاده قدیم,آمل,بابل,
163254,,بابل,گتاب,
163255,,محمودآباد,آمل,
163256,,زرگرشهر,بابلسر,
163257,,آمل,رودهن,آمل - پارک جنگلی آمل
163258,,آمل,رودهن,گزنک - پلور
163262,,رودهن,آمل,سه راه سنگچال - پارک جنگلی
163263,,رودهن,آمل,شاه زید - سه راه سنگچال
163264,,رودهن,آمل,سه راه بلده - شاه زید
163265,,رودهن,آمل,پنجاب - سه راه بلده
163266,,رودهن,آمل,گزنک - پنجاب
163271,,آمل,رودهن,پلور- امامزاده هاشم
163301,,بابل,بابلسر,
163302,,بابل,قائمشهر,
163305,,بابل,کیاکلا,
163320,کمربندی,جنوبی بابل,,بابل - آمل
163323,,بابل,گنج افروز,جنب دوربین ثبت تخلف
163351,,بابلسر,بابل,
163352,,قائمشهر,بابل,
163355,,کیاکلا,بابل,
163370,کمربندی,جنوبی بابل,,آمل - بابل
163373,,گنج افروز,بابل,جنب دوربین ثبت تخلف
163401,,فریدونکنار,محمودآباد,
163402,,بابلسر,فریدونکنار,
163403,,بابلسر,بهنمیر,
163404,,فریدون کنار,دابودشت,
163451,,محمودآباد,فریدونکنار,
163452,,فریدونکنار,بابلسر,
163453,,بهنمیر,بابلسر,
163454,,دابودشت,فریدون کنار,
163501,,بهشهر,گلوگاه,
163510,,گلوگاه,کردکوی,گلوگاه
163551,,گلوگاه,بهشهر,
163560,,کردکوی,گلوگاه,گلوگاه
163701,,محمودآباد,نور,
163751,,نور,محمودآباد,
163801,,تنکابن,رامسر,
163802,,عباس آباد,تنکابن,
163810,,چالوس,کلارآباد,
163811,,تنکابن,دوهزار,
163851,,رامسر,تنکابن,
163852,,تنکابن,عباس آباد,
163860,,کلارآباد,چالوس,
163861,,دوهزار,تنکابن,
163901,,رامسر,چابکسر,
163951,,چابکسر,رامسر,
164101,,قائمشهر,فیروزکوه,قائمشهر - شیرگاه
164104,,چالوس,کرج,دوآب - مرزن آباد
164105,,قائمشهر,فیروزکوه,شیرگاه - پل سفید
164106,,قائمشهر,فیروزکوه,پل سفید - گرزین خیل
164107,,قائمشهر,فیروزکوه,گرزین خیل - ورسک
164119,,فیروزکوه,قائمشهر,پل سفید - زیرآب) (متناظر توزین
164151,,فیروزکوه,قائمشهر,شیرگاه - قائمشهر
164154,,کرج,چالوس,مرزن آباد - دوآب
164155,,فیروزکوه,قائمشهر,پل سفید - شیرگاه
164156,,فیروزکوه,قائمشهر,گرزین خیل - پل سفید
164157,,فیروزکوه,قائمشهر,ورسک - گرزین خیل
164301,,جویبار,قائمشهر,
164351,,قائمشهر,جویبار,
164401,,نور,نوشهر,سی سنگان - نوشهر
164402,,نور,نوشهر,نور - سی سنگان
164451,,نوشهر,نور,نوشهر - سی سنگان
164452,,نوشهر,نور,سی سنگان - نور
164601,,چالوس,کرج,چالوس - دوآب
164602,,کلارآباد,عباس آباد,
164603,آزادراه,شمال,تهران,چالوس - مرزن‌آباد
164604,,کرج,چالوس,مکارود - مرزن آباد
164605,,چالوس,کرج,هزارچم - سیاه بیشه
164606,,چالوس,کرج,سیاه بیشه - کندوان
164609,آزادراه,تهران,شمال,دهانه شمالی تونل البرز
164621,,عباس آباد,کلاردشت,
164651,,کرج,چالوس,دوآب - چالوس
164652,,عباس آباد,کلارآباد,
164653,آزادراه,تهران,شمال,مرزن‌آباد - چالوس
164654,,چالوس,کرج,مرزن آباد - مکارود
164655,,کرج,چالوس,سیاه بیشه - هزارچم
164656,,کرج,چالوس,کندوان - سیاه بیشه
164671,,کلاردشت,عباس آباد,
164701,,نکا,بهشهر,
164751,,بهشهر,نکا,
183101,آزادراه,کرج,تهران,کیلومتر25
183102,آزادراه,تهران,کرج,پل کلاک
183104,,کرج,چالوس,پورکان
183105,,کرج,چالوس,گچسر
183107,جاده قدیم,کرج,قزوین,آبیک
183110,آزادراه,کرج,قزوین,پل هشتگرد
183111,آزادراه,کرج,قزوین,گلشهر
183113,,کرج,طالقان,
183117,آزادراه,کرج,قزوین,ترمینال کلانتری
183118,,کرج,چالوس,بیلقان
183119,,کرج,چالوس,سد کرج
183120,,کرج,چالوس,کندوان
183121,آزادراه,کرج,قزوین,نظرآباد
183151,آزادراه,تهران,کرج,کیلومتر25
183152,آزادراه,کرج,تهران,پل کلاک
183154,,چالوس,کرج,پورکان
183155,,چالوس,کرج,گچسر
183157,جاده قدیم,قزوین,کرج,آبیک
183160,آزادراه,قزوین,کرج,پل هشتگرد
183161,آزادراه,قزوین,کرج,گلشهر
183163,,طالقان,کرج,
183164,جاده قدیم,قزوین,کرج,کمالشهر
183167,آزادراه,قزوین,کرج,ترمینال کلانتری
183168,,چالوس,کرج,بیلقان
183169,,چالوس,کرج,سد کرج
183170,,چالوس,کرج,کندوان
183171,آزادراه,قزوین,کرج,نظرآباد
183215,آزادراه,تهران,شمال,تونل البرز
183216,,آزاد راه تهران,شمال,قطعه اول، بعد از تونل 16
183218,آزادراه,تهران,کرج,همت-مرز استان
183266,,آزاد راه شمال,تهران,قطعه اول، بعد از تونل 16
