,code,name_x,est_sum_total_est_x,est_sum_total_est_y,growth_rate
1517,513404.0,خمين - اليگودرز,59695,3941.0,1414.7170768840397
326,113413.0,آبعلي - پلور (سه‌راهي مشاء - امامزاده هاشم),271647,45914.0,491.643071829943
2132,333151.0,بيرجند - سرايان (سرايان),29268,5220.0,460.68965517241384
1859,333158.0,عرب آباد - ديهوک,40222,7469.0,438.5192127460169
13,113203.0,آزادراه تهران - قم (مجتمع ياس),1056939,200733.0,426.53973188265013
2028,333271.0,شهداد - نهبندان,33063,6739.0,390.62175396943167
2296,333404.0,قائن - خواف (فرخي),22522,5451.0,313.1718950651257
1590,513112.0,کنارگذر شمالي اراک (رفت),55269,13402.0,312.39367258618114
621,114309.0,آزادراه چرمشهر - آبيک (تقاطع اخترآباد),179496,45680.0,292.94220665499125
1835,513551.0,نراق - دليجان,41414,10657.0,288.6084263864127
572,114359.0,آزادراه آبيک - چرمشهر(تقاطع اخترآباد),191901,50275.0,281.702635504724
921,953251.0,خورموج - چغادک (خورموج),120382,31816.0,278.3693738999246
222,153221.0,بوئين زهرا - اشتهارد,347997,98328.0,253.91444959726627
1635,453804.0,زرند - بافق (زرند،محور سي ريز),52918,15342.0,244.92243514535264
1280,543234.0,شاقاجي - امامزاده هاشم,77893,23940.0,225.36758563074352
824,214753.0,گلپايگان - علويجه (علويجه),135956,42059.0,223.25067167550347
1414,364455.0,رامشير (سه راه سرانجام) - ماهشهر,66072,20669.0,219.66713435579854
1101,733151.0,سه راهي موچش - کامياران,98580,34130.0,188.8368004687958
1367,453904.0,سيرجان - بافت (سيرجان),69222,25244.0,174.2116938678498
1762,114307.0,آزادراه چرمشهر - آبيک (چرمشهر),45282,16838.0,168.92742606010216
1998,113651.0,حسن‌آباد - رباط‌کريم (جاده قديم قم - وهن آباد),34291,12924.0,165.32807180439494
1796,114357.0,آزادراه آبيک -چرمشهر (چرمشهر),43721,16646.0,162.6516880932356
36,113954.0,شهريار - تهران (شهر قدس),727855,301165.0,141.67981007089136
2051,314152.0,قائن - خواف (نشتيفان),32505,13733.0,136.69263817082938
2273,733654.0,بيجار - قروه,23794,10106.0,135.44429052048287
2041,453256.0,کمربندي کرمان - باغين (سرآسياب),32752,14694.0,122.89369810807132
1785,333408.0,قاين - حاجي آباد,44126,19878.0,121.98410302847368
623,149905.0,قم - جعفريه (دوربين),179086,83679.0,114.01546385592563
295,153186.0,آزادراه آبيک - قزوين (عوارضي 1 قزوين),288412,135627.0,112.65087335117639
348,113501.0,فيروزکوه - گدوک,263561,124657.0,111.42896106917381
43,113904.0,تهران - شهريار (شهر قدس),700558,334967.0,109.14239313126369
1077,773222.0,شهرکرد - شلمزار (خراجي),100894,48664.0,107.32779878349498
488,643104.0,بندرعباس - سه‌راهي چاه اسماعيل,216946,105000.0,106.6152380952381
1116,773272.0,شلمزار - شهرکرد (خراجي),96898,47242.0,105.10985987045424
