code,name,est_sum_total_est
183117,آزادراه کرج - قزوين (ترمينال کلانتري),1879831
183101,آزادراه کرج - تهران (کيلومتر25),1831657
183151,آزادراه تهران - کرج (کيلومتر25),1831596
183102,آزادراه تهران - کرج (پل کلاک),1621282
183152,آزادراه کرج - تهران (پل کلاک),1618542
183167,آزادراه قزوين - کرج (ترمينال کلانتري),1592523
183111,آزادراه کرج - قزوين (گلشهر),1565145
114501,آزادراه تهران - کرج (عوارضي قديم),1477810
183161,آزادراه قزوين - کرج (گلشهر),1373129
114551,آزادراه کرج - تهران (عوارضي قديم),1313899
114352,قرچک - ري,1280494
113612.0,عوارضي آزادراه قم - تهران (بهشت زهرا)(مجموع گيت ها),1106501
183110,آزادراه کرج - قزوين (پل هشتگرد),1085426
183160,آزادراه قزوين - کرج (پل هشتگرد),1029343
153110,آزادراه قزوين - کرج (عوارضي 2 قزوين),1005854
153160,آزادراه کرج - قزوين (عوارضي 2 قزوين),936758
183171,آزادراه قزوين - کرج (نظرآباد),888755
213278.0,بهارستان - اصفهان,884267
153111,آزادراه قزوين - کرج (آبيک),845776
113654,آزادراه قم - تهران (بين فرودگاه و حسن آباد),813085
153137,آزادراه قزوين - آبيک (بعد از عوارضي2),803474
113260,آزادراه قم - تهران (عوارضي تهران),793980
213228,اصفهان - بهارستان,792157
113604,آزادراه تهران - قم (بين فرودگاه و حسن آباد),790884
113253,آزادراه قم - تهران (مجتمع ياس),786141
153122,آزادراه قزوين - زنجان (کنارگذر قزوين),769632
143220.0,آزادراه تهران - قم (مجموع گيت هاي عوارضي قم),764334
143183,آزادراه تهران - قم (علي‌آباد),740216
143117,آزادراه تهران - قم (رستوران مهتاب),736292
263286,کنار گذر جنوبي شهيد کسايي (تبريز - باسمنج),734843
153172,آزادراه زنجان - قزوين (کنارگذر قزوين),732713
143133,آزادراه قم - تهران (علي‌آباد),730303
313103,مشهد - چناران (مشهد - تقاطع آزادراه),728831
143167,آزادراه قم - تهران (رستوران مهتاب),721533
263160,ايلخچي - تبريز,710581
113210,آزادراه تهران - قم (عوارضي تهران),709135
414853,شيراز - مرودشت (شيراز - اکبرآباد),705258
313153,چناران - مشهد (تقاطع آزادراه - مشهد),703841
544502,لاهيجان - لنگرود,703338
113202,شهريار-کرج (هفت جوي),690049
414854,شيراز - مرودشت (اکبرآباد - رکن‌آباد),687802
263110,تبريز - ايلخچي,687067
543401,لاهيجان - آستانه,686160
263236,کنار گذر جنوبي شهيد کسايي (باسمنج - تبريز),683812
163102,ساري - قائمشهر,681604
153187,آزادراه کنارگذر قزوين - زنجان (بعد از عوارضي 2),672927
543101,امامزاده هاشم - تقاطع سراوان,669881
183121,آزادراه کرج - قزوين (نظرآباد),666218
114110.0,عوارضي آزادراه ساوه - تهران (تهران)(مجموع گيت ها),661258
163152.0,قائمشهر - ساري,657770
544552,لنگرود - لاهيجان,656005
113256,آزادراه پرديس - تهران (عوارضي پرديس),653454
813104,سه راهي چالان چولان - دورود,646629
113257,آزادراه پرديس - تهران (بومهن),636348
163205,آمل - محمودآباد,630064
213163,آزادراه زرين شهر - اصفهان(فلاورجان),627755
414855,شيراز - مرودشت (رکن‌آباد - زرقان),627699
143107,آزادراه قم - تهران (نعلبندان),626042
414803,مرودشت - شيراز (اکبرآباد - شيراز),624269
543451,آستانه - لاهيجان,623459
114160.0,عوارضي آزادراه تهران - ساوه (تهران)(مجموع گيت ها),620405
113258,آزادراه تهران - ساوه (تهران-رباط کريم),618968
414804,مرودشت - شيراز (رکن‌آباد - اکبرآباد),618556
414805,مرودشت - شيراز (زرقان - رکن‌آباد),610647
543556,آزادراه قزوين - رشت (رستم‌آباد - امامزاده هاشم),599106
113207,آزادراه تهران - پرديس (بومهن),597529
543155,آزادراه قزوين - رشت (رودبار - رستم‌آباد),593647
153155,آزادراه رشت - قزوين (محمودآباد - قزوين),590724
153161,آزادراه کرج - قزوين (آبيک),590119
113252,کرج-شهريار (هفت جوي),584627
113813,تهران - جاجرود (جنب سامانه توزين),583152
543151,تقاطع سراوان - امامزاده هاشم,581501
953164,ورودي بوشهر (چغادک بوشهر),580463
543111,رشت - خمام,578120
113701,جاده دسترسي احمدآباد مستوفي(آزادگان - اسلامشهر),577968
414857,شيراز - مرودشت (دو راهي لپويي - مرودشت),575476
543160,کوچصفهان - رشت,574169
153107,آزادراه قزوين - رشت (کوهين - مرز استان),572148
163402,بابلسر - فريدونکنار,571713
153157,آزادراه رشت - قزوين (مرز استان - کوهين),569585
543506,آزادراه رشت - قزوين (امامزاده هاشم - رستم‌آباد),568034
543110,رشت - کوچصفهان,564429
973155,علي آباد - گرگان,562961
543301,خمام - انزلي,558755
543161,خمام - رشت,558417
414807,مرودشت - شيراز (مرودشت - دو راهي لپويي),556883
113751,جاده دسترسي احمدآباد مستوفي(اسلامشهر - آزادگان),555149
114302,ري - قرچک,552699
543505,رودبار - منجيل,546722
543351,انزلي - خمام,541145
543105,آزادراه رشت - قزوين (رستم‌آباد - رودبار),539801
153156,آزادراه رشت - قزوين (کوهين - محمودآباد),539017
414856,شيراز - مرودشت (زرقان - دوراهي لپويي),531807
213113,آزادراه اصفهان - زرين شهر( فلاورجان),528244
163251,آمل - بابل,526777
113278.0,آزادراه ساوه - تهران(پرند),522451
113254,آزادراه ساوه - تهران (عوارضي تهران),521190
414806,مرودشت - شيراز (دوراهي لپويي - زرقان),521075
