code,name,date,duration,total_count,car_count,total_est,car_est,avg_speed,total_est_normal
215253,شهرضا - اصفهان (سه‌راهي مبارکه),1402-12-10,1440,18906,15582,18906,15582,78,-2.3829704510108867
215253,شهرضا - اصفهان (سه‌راهي مبارکه),1402-12-11,1440,23019,18508,23019,18508,88,-1.583398133748056
215253,شهرضا - اصفهان (سه‌راهي مبارکه),1402-12-12,1440,30113,24314,30113,24314,87,-0.20431570762052878
215253,شهرضا - اصفهان (سه‌راهي مبارکه),1402-12-13,1440,30157,24117,30157,24117,86,-0.1957620528771384
215253,شهرضا - اصفهان (سه‌راهي مبارکه),1402-12-14,1440,29392,23217,29392,23217,84,-0.34447900466562986
215253,شهرضا - اصفهان (سه‌راهي مبارکه),1402-12-15,1440,29739,23331,29739,23331,86,-0.2770217729393468
215253,شهرضا - اصفهان (سه‌راهي مبارکه),1402-12-16,1440,31403,25027,31403,25027,86,0.04646189735614308
215253,شهرضا - اصفهان (سه‌راهي مبارکه),1402-12-17,1440,29171,24125,29171,24125,89,-0.38744167962674964
215253,شهرضا - اصفهان (سه‌راهي مبارکه),1402-12-18,1440,29368,24072,29368,24072,89,-0.34914463452566097
215253,شهرضا - اصفهان (سه‌راهي مبارکه),1402-12-19,1440,31535,25275,31535,25275,87,0.07212286158631415
215253,شهرضا - اصفهان (سه‌راهي مبارکه),1402-12-20,1390,29760,23946,31239,25136,87,0.0145800933125972
215253,شهرضا - اصفهان (سه‌راهي مبارکه),1402-12-21,1440,30239,23947,30239,23947,80,-0.17982115085536549
215253,شهرضا - اصفهان (سه‌راهي مبارکه),1402-12-22,1440,30391,23316,30391,23316,83,-0.15027216174183514
215253,شهرضا - اصفهان (سه‌راهي مبارکه),1402-12-23,1410,32416,25863,33477,26709,85,0.44965007776049765
215253,شهرضا - اصفهان (سه‌راهي مبارکه),1402-12-24,1310,26524,21645,30387,24797,87,-0.151049766718507
215253,شهرضا - اصفهان (سه‌راهي مبارکه),1402-12-25,1440,25480,20239,25480,20239,87,-1.1049766718507
215253,شهرضا - اصفهان (سه‌راهي مبارکه),1402-12-26,1440,31539,25728,31539,25728,85,0.072900466562986
215253,شهرضا - اصفهان (سه‌راهي مبارکه),1402-12-27,1440,31380,25792,31380,25792,87,0.041990668740279936
215253,شهرضا - اصفهان (سه‌راهي مبارکه),1402-12-28,785,11725,9330,26118,20783,89,-0.9809486780715396
215253,شهرضا - اصفهان (سه‌راهي مبارکه),1402-12-29,1435,17576,15415,17629,15461,94,-2.6312208398133747
215253,شهرضا - اصفهان (سه‌راهي مبارکه),1403-01-01,1440,16567,15349,16567,15349,97,-2.837674961119751
215253,شهرضا - اصفهان (سه‌راهي مبارکه),1403-01-02,1440,20802,19566,20802,19566,96,-2.014385692068429
215253,شهرضا - اصفهان (سه‌راهي مبارکه),1403-01-03,1425,24267,22489,24588,22786,94,-1.2783825816485226
215253,شهرضا - اصفهان (سه‌راهي مبارکه),1403-01-04,1390,28485,26133,30109,27622,94,-0.20509331259720062
215253,شهرضا - اصفهان (سه‌راهي مبارکه),1403-01-05,1440,33114,29766,33114,29766,86,0.37908242612752724
215253,شهرضا - اصفهان (سه‌راهي مبارکه),1403-01-06,1440,32014,28641,32014,28641,89,0.16524105754276827
215253,شهرضا - اصفهان (سه‌راهي مبارکه),1403-01-07,1440,34110,30698,34110,30698,90,0.5727060653188181
215253,شهرضا - اصفهان (سه‌راهي مبارکه),1403-01-08,1440,35610,31909,35610,31909,89,0.864307931570762
215253,شهرضا - اصفهان (سه‌راهي مبارکه),1403-01-09,1440,34597,31268,34597,31268,90,0.6673794712286159
215253,شهرضا - اصفهان (سه‌راهي مبارکه),1403-01-10,1440,34739,31578,34739,31578,90,0.6949844479004665
215253,شهرضا - اصفهان (سه‌راهي مبارکه),1403-01-11,1210,24819,22306,33241,29875,91,0.4037713841368585
215253,شهرضا - اصفهان (سه‌راهي مبارکه),1403-01-12,1095,20161,18459,27640,25306,92,-0.6850699844479005
215253,شهرضا - اصفهان (سه‌راهي مبارکه),1403-01-13,865,17568,15990,31620,28779,86,0.08864696734059098
215253,شهرضا - اصفهان (سه‌راهي مبارکه),1403-01-14,1020,19578,16595,31730,26895,88,0.11003110419906688
215253,شهرضا - اصفهان (سه‌راهي مبارکه),1403-01-15,1080,19499,16585,30297,25769,85,-0.16854587869362364
215253,شهرضا - اصفهان (سه‌راهي مبارکه),1403-01-16,425,2693,2133,29417,23299,92,-0.3396189735614308
