code,name,est_sum_total_est
183151,آزادراه تهران - کرج (کيلومتر25),5735311
183101,آزادراه کرج - تهران (کيلومتر25),5487591
183117,آزادراه کرج - قزوين (ترمينال کلانتري),5397188
183167,آزادراه قزوين - کرج (ترمينال کلانتري),4903408
183102,آزادراه تهران - کرج (پل کلاک),4779815
183152,آزادراه کرج - تهران (پل کلاک),4654803
114501,آزادراه تهران - کرج (عوارضي قديم),4522982
114551,آزادراه کرج - تهران (عوارضي قديم),4494458
183111.0,آزادراه کرج - قزوين (گلشهر),4331806
183161.0,آزادراه قزوين - کرج (گلشهر),3723330
113612,عوارضي آزادراه قم - تهران (بهشت زهرا)(مجموع گيت ها),3359041
113203,آزادراه تهران - قم (مجتمع ياس),3117459
113259,پاکدشت - تهران,3054834
113260,آزادراه قم - تهران (عوارضي تهران),2978137
183160,آزادراه قزوين - کرج (پل هشتگرد),2933676
113253,آزادراه قم - تهران (مجتمع ياس),2909905
113210,آزادراه تهران - قم (عوارضي تهران),2837185
153110,آزادراه قزوين - کرج (عوارضي 2 قزوين),2833322
153160,آزادراه کرج - قزوين (عوارضي 2 قزوين),2821788
114110,عوارضي آزادراه ساوه - تهران (تهران)(مجموع گيت ها),2803487
113209,تهران - پاکدشت,2653659
183110,آزادراه کرج - قزوين (پل هشتگرد),2653626
113954,شهريار - تهران (شهر قدس),2619635
114160,عوارضي آزادراه تهران - ساوه (تهران)(مجموع گيت ها),2450207
113202,شهريار-کرج (هفت جوي),2412870
113904,تهران - شهريار (شهر قدس),2400278
213228,اصفهان - بهارستان,2343921
213113,آزادراه اصفهان - زرين شهر( فلاورجان),2255280
113654,آزادراه قم - تهران (بين فرودگاه و حسن آباد),2226902
113604,آزادراه تهران - قم (بين فرودگاه و حسن آباد),2205095
113258,آزادراه تهران - ساوه (تهران-رباط کريم),2133565
263236,کنار گذر جنوبي شهيد کسايي (باسمنج - تبريز),2091480
113252,کرج-شهريار (هفت جوي),2068766
113208,آزادراه ساوه - تهران (رباط کريم-تهران),2029015
313103,مشهد - چناران (مشهد - تقاطع آزادراه),1995831
143220,آزادراه تهران - قم (مجموع گيت هاي عوارضي قم),1970028
163152.0,قائمشهر - ساري,1937989
