|code|nowruz_02|nowruz_03
0|113201|['1401-12-28']|['1402-12-28']
1|113212.0|['1401-12-11', '1401-12-12', '1401-12-13']|
2|113228|['1401-12-29']|
3|113259||['1402-12-17', '1402-12-18']
4|113293.0||['1403-01-06']
5|113418||['1402-12-29']
6|113418.0|['1401-12-29']|
7|113604|['1401-12-29']|
8|113815.0||['1403-01-13']
9|113855|['1402-01-13']|['1403-01-13']
10|114354.0|['1402-01-14']|
11|114357||['1402-12-28']
12|114358||['1402-12-28']
13|114413|['1401-12-28']|
14|114551||['1403-01-18']
15|143101|['1402-01-01']|
16|143103.0|['1402-01-13']|
17|143105|['1401-12-29']|
18|143108|['1401-12-28', '1401-12-29', '1402-01-01']|['1402-12-29', '1403-01-02']
19|143109|['1402-01-14']|
20|143110|['1401-12-28', '1401-12-29']|
21|143112|['1402-01-13']|
22|143114|['1401-12-22', '1402-01-02', '1402-01-03']|
23|143117|['1401-12-29']|
24|143118|['1401-12-28', '1401-12-29']|['1402-12-28', '1402-12-29']
25|143119|['1401-12-16', '1401-12-17']|['1403-01-14', '1403-01-15']
26|143120|['1401-12-16', '1401-12-17', '1401-12-18']|
27|143122||['1403-01-02', '1403-01-08', '1403-01-09']
28|143124|['1401-12-28', '1401-12-29']|['1402-12-28', '1402-12-29']
29|143132|['1402-01-13']|
30|143151|['1402-01-13']|
31|143152|['1402-01-15']|
32|143153.0|['1402-01-13']|
33|143155|['1402-01-14']|['1403-01-14']
34|143162|['1402-01-13']|
35|143164|['1402-01-08']|
36|143168.0|['1402-01-14']|
37|143169|['1401-12-16', '1401-12-17', '1402-01-02']|
38|143170|['1401-12-16', '1401-12-18', '1401-12-23']|
39|143172||['1403-01-02', '1403-01-03', '1403-01-09', '1403-01-10', '1403-01-13', '1403-01-14']
40|143175|['1402-01-14']|
41|143179|['1401-12-28', '1401-12-29']|['1402-12-28', '1402-12-29']
42|143182|['1402-01-13']|
43|143183|['1401-12-28', '1401-12-29']|['1402-12-28', '1402-12-29']
44|143201|['1401-12-16']|
45|143202||['1402-12-29']
46|143220||['1402-12-29']
47|143220.0|['1401-12-29']|
48|143223|['1402-01-13']|
49|143251|['1401-12-16', '1402-01-01']|
50|143301||['1402-12-13', '1402-12-15']
51|143351|['1401-12-17']|
52|153104|['1401-12-28', '1401-12-29']|['1402-12-28', '1402-12-29']
53|153105||['1402-12-29']
54|153106||['1402-12-29']
55|153107|['1401-12-29']|['1402-12-29']
56|153113|['1401-12-29']|
57|153122|['1401-12-29']|['1402-12-29']
58|153123|['1402-01-13']|
59|153135|['1402-01-14']|
60|153140||['1403-01-13']
61|153154|['1402-01-14']|['1403-01-14']
62|153155|['1402-01-02', '1402-01-03', '1402-01-12']|
63|153156|['1402-01-12']|
64|153157|['1402-01-12']|
65|153162|['1402-01-14']|
66|153163|['1402-01-14']|['1403-01-14', '1403-01-16', '1403-01-17']
67|153173|['1402-01-13']|
68|153185|['1401-12-28', '1401-12-29']|['1402-12-29']
69|153189|['1402-01-11']|
70|153208|['1401-12-29']|
71|153221.0||['1402-12-11', '1402-12-13', '1402-12-26', '1402-12-28', '1403-01-01', '1403-01-05', '1403-01-06', '1403-01-08', '1403-01-14', '1403-01-15', '1403-01-16', '1403-01-18']
72|153301|['1401-12-18', '1401-12-21']|
73|153402||['1403-01-13']
74|153404|['1402-01-14']|
75|153452|['1402-01-13']|['1403-01-13']
76|153454.0||['1402-12-28']
77|163106|['1402-01-18']|
78|163155.0|['1401-12-29', '1402-01-06']|
79|163156.0||['1403-01-07', '1403-01-08', '1403-01-09']
80|163212.0|['1402-01-11']|
81|163221|['1402-01-02']|
82|163352|['1402-01-04']|
83|163402|['1402-01-03', '1402-01-04', '1402-01-05', '1402-01-06', '1402-01-07', '1402-01-08', '1402-01-09', '1402-01-10']|
84|163560|['1402-01-04']|
85|163751|['1402-01-04', '1402-01-05']|['1403-01-05']
86|163801.0|['1402-01-04', '1402-01-05']|
87|163852|['1402-01-05', '1402-01-06']|
88|163852.0||['1403-01-04', '1403-01-05']
89|163861||['1403-01-10']
90|163901|['1402-01-03', '1402-01-04', '1402-01-05', '1402-01-06', '1402-01-07', '1402-01-09', '1402-01-10']|
91|163901.0||['1403-01-03', '1403-01-04', '1403-01-05', '1403-01-06', '1403-01-07', '1403-01-08', '1403-01-09']
92|163951|['1402-01-03', '1402-01-04', '1402-01-05']|['1403-01-04', '1403-01-09']
93|164401||['1403-01-04', '1403-01-07']
94|164402|['1402-01-03', '1402-01-04', '1402-01-05', '1402-01-06', '1402-01-07', '1402-01-09']|
95|164451|['1402-01-04', '1402-01-05', '1402-01-06']|['1403-01-05']
96|164452|['1402-01-03', '1402-01-04', '1402-01-05', '1402-01-09']|['1403-01-05', '1403-01-08']
97|164655||['1403-01-06']
98|164701||['1402-12-28']
99|183104.0|['1402-01-10']|
100|183112|['1401-12-11', '1401-12-12', '1401-12-15']|
101|183113|['1402-01-10']|
102|183163|['1402-01-13']|['1403-01-13']
103|183170|['1402-01-05']|
104|183215||['1403-01-02']
105|183216||['1403-01-09']
106|183266||['1403-01-11', '1403-01-12', '1403-01-13']
107|183269|['1401-12-14']|
108|184202|['1402-01-15']|
109|184214|['1401-12-28', '1401-12-29', '1402-01-01']|
110|184251|['1402-01-14']|
111|213106|['1401-12-23']|
112|213114|['1401-12-18', '1401-12-25']|
113|213155|['1402-01-13']|
114|213164|['1401-12-11', '1401-12-18', '1401-12-25']|
115|213201||['1402-12-11', '1402-12-13']
116|213229.0|['1401-12-10', '1401-12-11', '1401-12-16', '1401-12-23', '1401-12-25']|
117|213233|['1401-12-28', '1401-12-29', '1402-01-01', '1402-01-02']|['1402-12-28', '1402-12-29', '1403-01-01', '1403-01-02', '1403-01-03', '1403-01-04', '1403-01-05', '1403-01-06', '1403-01-07', '1403-01-08']
118|213234|['1401-12-28', '1401-12-29', '1402-01-01']|['1402-12-28', '1402-12-29', '1403-01-01', '1403-01-02', '1403-01-03', '1403-01-04', '1403-01-07']
119|213251||['1402-12-10', '1402-12-11']
120|213259|['1402-01-13']|
121|213269|['1402-01-13']|
122|213278.0|['1401-12-24']|
123|213283|['1402-01-04', '1402-01-05', '1402-01-06', '1402-01-07', '1402-01-11', '1402-01-12']|['1403-01-04', '1403-01-05', '1403-01-06', '1403-01-07', '1403-01-08', '1403-01-09', '1403-01-10', '1403-01-11', '1403-01-12']
124|213284|['1402-01-03', '1402-01-04', '1402-01-05']|['1403-01-04', '1403-01-05', '1403-01-06', '1403-01-07', '1403-01-08', '1403-01-09', '1403-01-10', '1403-01-11', '1403-01-12', '1403-01-13']
125|213402||['1403-01-18', '1403-01-19', '1403-01-20']
126|213551|['1402-01-13']|['1403-01-05', '1403-01-12', '1403-01-18', '1403-01-19']
127|213918||['1403-01-18']
128|213921||['1402-12-27', '1402-12-28']
129|213952.0|['1402-01-13']|
